,post_id,comments_text
39,12103.0,"Смотрю дебаты и задаю вопрос себе: для чего они, зачем пошли на эти дебаты, где у троих чувства собственного достоинства ? Им нужно было бы отказаться от дебатов, так же, как это сделал умный человек ! Хотя, видимо, так и было задумано...В предыдущие дебаты люди смотрели их, весело было и мнения широкие ... А сейчас: ВМЕСТЕ МЫ СИЛА - ГОЛОСУЕМ ЗА РОССИЮ ! Если мы вместе, то зачем дебаты !"
40,12103.0,За путина
41,12103.0,"Выбор конечно же за Путина! 🔥🔥🔥 Только он может справиться с давлением Запада и Америки!!! Достали, мешают жить всему миру! Только он и больше никто! Из полной разрухи смог восстановить такую большую страну!!! И очень жаль, что народ так и не научился ценить то, что есть. Нужно просто гордиться, что живёшь в такой стране! 💪"
42,12103.0,За Путина!
43,12103.0,"Интересно, а вы бы смогли сейчас возглавить государство?"
44,12103.0,точно не за Путина! напринимал законов пол страны пособия на детей лишил! до введения единого пособия многие получали а как ввели единое и поменяли критерии большинство лишилось! бред лишать семью многодетную пособия из за превышения в га земли!
45,12103.0,Я голосую за даванкова он молодой и он может  справиться с этим всём
46,12103.0,"Предвыборная программа кандидата от КПРФ единственно реалистична, и для народа."
47,12228.0,"""В поддержку президента"". сл. и муз. Р. Филимонов, исполняет семейный дуэт ""ПРоДа""."
48,12191.0,"забавно, до этого про надеждина оставляли комменты, а как сняли так всё. бросили сразу? не проплачивают? поматросили и бросили) вот потому оппозиция и либералы в д....е...рьме всегда будут. А вот русские своих не бросают"
49,12191.0,Я не голосую и вам не советую !!! 😏
50,12183.0,"как говорится... p.s. я не поддерживаю линию деятельности, которую осуществлял покойный"
51,12183.0,Ныборы без выбора!
52,12183.0,"ПРОЕКТ ""ЭКОНОМИЧЕСКОЕ ЧУДО РОССИИ"" 
Цель проекта: 
Объединить людей, способных мыслить логически, и реализовать идеи, которые сделают Россию лучшей страной мира как в экономическом, так и в духовном плане. 
Проекты: 
1)Приложение ""Открытое голосование"" 
Цель: Сделать выборы честными и прозрачными. 
2)Приложение ""Партия Краснодипломников"" 
Цель: Сформировать новую политическую элиту из компетентных и профессиональных людей. 
3) Как остановить войну в Украине 
С уважением Дмитрий. 
https://vk.com/minicapitalism"
53,12183.0,"Да и хуй с ним. Здох и сдох, жену та же участь"
54,12183.0,Ждет
55,12183.0,Я не голосую и вам не советую !!! 😏
56,12167.0,"Как на Ютубе посмотреть? Тут плеер дурацкий, откидывает на начало и промотка неудобная"
57,12167.0,Я не голосую и вам не советую !!! 😏
58,12104.0,Только Фургал С. И.
59,12104.0,Так с какой руки она это делала
60,12104.0,Сравнивать с выборами 2018 некорректно.
61,12104.0,Спасти Россию можно только без пукина
62,12104.0,Без Путина
63,12104.0,"Окончательный список претендентов на пост президента РФ, можно увидеть, и прочитать?)"
64,12104.0,Это будет завтра?) 🙏
65,12104.0,Я не голосую и вам не советую !!! 😏
66,12035.0,А кто его до бы допустил до них? Скоро и николашка к нему добавиться.
67,12035.0,Сергей Ивановича в президенты... Он единственный кто осилит такую работу)))
68,12035.0,И слава богу
69,12035.0,"В этoм гoдy влacть дeлaeт вce вoзмoжнoe для тoгo чтoбы мaкcимaльнo бeзoпacнo для ceбя пpoйти эти выбopы. Впepвыe гoлocoвaниe пpoдлитcя в тpи дня, видимo для тoгo, чтoбы низкyю явкy нa yчacткax пoтoм мoжнo былo oбъяcнять чтo ocтaльныe пpoгoлocoвaли в дpyгoй дeнь. Тaкжe нe cтoит зaбывaть пpo чyдecнyю вoзмoжнocть гoлocoвaть нa гocycлyгax чтo тoжe oблeгчит пyти фaльcификaций. Ecть eщe тaкaя инфa чтo нac дaжe лишaт видeoнaблюдeния зa xoдoм выбopoв, a включaт тoлькo вo вpeмя пoдcчётa гoлocoв в кoнцe гoлocoвaния. Ни o кaкиx мeждyнapoдныx нaблюдaтeляx нe мoжeт быть и peчи, нy ecли нe cчитaть Yгaндy и пpиднecтpoвьe))) Кaк бы влacти нe пытaлиcь лeгитимизиpoвaть эти выбopы, выглядит этo пpocтo cмeшнo."
70,12035.0,"Голосуйте за Путина. Только при нем продолжится стабильный рост цен на продукты, товары, коммуналку, тарифы ЖКХ и постепенное нищание заработных плат! Ура, За Путина!"
71,12035.0,Не рекомендую в гос услугах голосовать
72,12035.0,Думаю тут выбор очевиден
73,12035.0,"Не сможет, ну и ладно."
74,12035.0,Я не голосую и вам не советую !!! 😏
75,12033.0,Массовка
76,12033.0,"Выборы президента России 2024: выход есть!
Путин так и не смог решить семейно-демографический кризис - мы вымираем - в русских регионах РФ рождаемость в 2 раза ниже смертности. 
Поэтому нам надо выдвинуть кандидатом в президенты того, кто знает, как решить проблему вымирания России - автора книг по демографии Устина Чащихина.
Вступайте в группу избирателей: https://vk.com/elect_2024
Читайте программу https://russianstoday.ru/vybory-prezidenta-rossii-2024-vyhod-est/
и делайте репосты!"
77,12033.0,"Семейный институт и семейный бизнес
что должен делать успешный гражданин

Успешный гражданин должен расставлять приоритеты и поддерживать здоровый баланс между семейным институтом и семейной деловой деятельностью. Чтобы добиться этого, им следует:

1. Способствуйте крепким семейным связям: поощряйте открытое общение, взаимное уважение и эмоциональную поддержку среди членов семьи. Это создаст прочную основу для института семьи.

2. Установите четкие границы. Установите четкие границы между личной и профессиональной жизнью, чтобы семейные проблемы не мешали деловым вопросам и наоборот.

3. Выработайте общее видение: согласуйте цели и ценности членов семьи с миссией и задачами семейного бизнеса. Это будет гарантией того, что все будут работать ради общей цели.

4. Инвестируйте в образование и развитие навыков. Поощряйте непрерывное обучение и развитие навыков для всех членов семьи, чтобы повысить их индивидуальный вклад как в семейный институт, так и в бизнес.

5. Делегируйте обязанности: распределяйте роли и обязанности, исходя из сильных сторон и интересов каждого члена семьи, обеспечивая справедливое распределение работы и воспитывая чувство причастности и приверженности.

6. Поощряйте инновации и адаптируемость. Оставайтесь открытыми для новых идей, технологий и бизнес-стратегий, чтобы сохранить конкурентоспособность и актуальность семейного бизнеса на рынке.

7. Поддерживайте прозрачность: делитесь финансовой информацией, бизнес-планами и процессами принятия решений с членами семьи, чтобы способствовать доверию и взаимопониманию.

8. Разработайте план преемственности. Разработайте четкий план передачи руководства и собственности внутри семейного бизнеса, чтобы обеспечить его долгосрочную стабильность и рост.

9. Отдать должное обществу: Занимайтесь благотворительной деятельностью и поддерживайте местные инициативы, чтобы улучшить репутацию семьи и способствовать общественному благополучию.

10. Обратитесь за профессиональной консультацией. Проконсультируйтесь с экспертами в различных областях, таких как финансы, право и человеческие ресурсы, чтобы принимать обоснованные решения и решать потенциальные проблемы.

Следуя этим рекомендациям, успешный гражданин может найти баланс между семейным институтом и семейным бизнесом, способствуя гармонии и процветанию всех участников."
78,12033.0,"✅➕#как правило!?

✅➕#семейный
✅➕#институтом семейным
✅➕#семья
✅➕#бизнес
✅➕#институт
✅➕#семейным бизнесом
✅➕#член
✅➕#членами семьи
✅➕#способствовать
✅➕#успешный гражданин
✅➕#гражданин
✅➕#институтом семейным бизнесом
✅➕#между
✅➕#поддерживать
✅➕#поощрять
✅➕#семейным институтом семейным
✅➕#успешный
✅➕#четкий
✅➕#баланс
✅➕#баланс между
✅➕#баланс между семейным
✅➕#баланс между семейным институтом
✅➕#граница
✅➕#деловой
✅➕#деятельность
✅➕#между семейным
✅➕#между семейным институтом
✅➕#между семейным институтом семейным
✅➕#навык
✅➕#общий
✅➕#обязанность
✅➕#открытый
✅➕#план
✅➕#проблема
✅➕#профессиональный
✅➕#развитие
✅➕#развитие навыков
✅➕#разработать
✅➕#решение
✅➕#семейным институтом семейным бизнесом
✅➕#семьи способствовать
✅➕#следовать
✅➕#установите четкие
✅➕#установите четкие границы
✅➕#установить
✅➕#цель
✅➕#четкие границы"
79,12033.0,Я не голосую и вам не советую !!! 😏
80,12026.0,"2024 ГОД СТАНЕТ НЕ ГОДОМ ВЫБОРА ПРЕЗИДЕНТА, А ГОДОМ ВЫБОРА ДАЛЬНЕЙШЕГО ПУТИ РАЗВИТИЯ ВСЕГО НАШЕГО ГОСУДАРСТВА. 
 
ЛЮДИ, можно задать простой вопрос..? Мы во всей этой ежедневной суете задумыемся о том, разумно ли мы живём.? 
 
Давайте разберёмся в этом вместе и разобравшись начнём менять то, что мы уже десятилетия делаем не так. 
Мы уже 32 года живём в ""государстве"" система которого подразумевает отсутсвие какого либо перспективного будущего, как для самого государства, так и для его Народа. 
Когда в системе управления государством осутсвуют профильные специалисты, такое государство нацелено на развитие..?! 
 
А теперь просто факты.. 
1. Мы все свои средства 32 года, 60-80% своего дохода вкладываем в развитие других государств, а ожидаем улучшений с своём собственном. А на какие средства это делать в нашем государстве, можно узнать.? 
https://www.youtube.com/watch?v=I5PLsagGZtE&t 
https://www.youtube.com/watch?v=-vYGCsMROi4 
https://olegon.ru/showthread.php?t=33103 
Другими словами, мы 1- день в неделю ходим на работу чтобы оплатить стоимость необходимых нам товаров, а 4 дня, для того чтобы развивались предприятия в иностранных государствах и поддерживали высокий уровень жизни своих граждан. 
И как итог, мы не имеем в государстве средств для достойной пенсии, делая такие огромные отчисления в иностранные государства. 
Вы кода либо, 60-80% своего месячного дохода отдавали своему соседу, его семье, чтобы она хорошо жила..? 
Так почему мы позволили уничтожать на наших глазах национальные производства, от которых напрямую зависит высокий уровень жизни всего нашего государства и размер наших зароботных плат..? 
Я не говорю уже о бюджете государства, который у нас наполнятеся исключительно от продажи ресурсов, которые обменивают на простую зелёную бумагу государства имеющего 31,12 трлн долларов долга, не имеющую по сути никакой ценности 
Нам некогда задуматься об этом 32 года..? 
Мы заняты улучшением благосостояния госудасрв готовых уничтожить наше государство в любую минуту..? 
2. Как стало возможным кредитное рабство в государстве, вы не задумывались, работая 4 дня в неделю на враждебно настроенные к нам государства..? У вас находится для этого время..?! 
А очень просто.. Получая заработные платы с предприятий с уровнем рентабельности в 6.44 % 
https://tass.ru/ekonomika/13464029 
мы покупаем продукцию в иностранных почему то торговых сетях с наценкой 252-445%, в десятки раз больше возможностей нашего дохода. А в выходные дни мы ещё ищем подработку чтобы были средства заплатить кредиты. 
Кредитное рабство граждан и невозможность развития национального производства становятся гарантированными. 
И такую политику наше правительство проводит 32 года. 
И мы это знаем 32 года...??? 
Нас это всё устраивает..?? 
Или мы очень заняты работой на чужие государства и не находим время чтобы задуматься над этим..?? 
 
На наши деньги: Иностранцы покупают наши природные ресурсы, 
обменивая их на дорогие зелёные фантики. ""Инвестируют"" делая по сути своей собственностью наши национальные предприятия, (Валентин Катасонов ""инвестиционная оккупация России"") 
Выдают нам кредиты и ипотеки нашими же деньгами. 
Проводят работу по духовному и нравственному разложению общества, и нашего молодого поколения, чтобы мы вообще перестали думать. 
https://www.rbc.ru/business/18/05/2021/60a3e41f9a7947.. 
https://www.youtube.com/watch?v=wOBR14BtoYc 
https://www.youtube.com/watch?v=veQMkA8KDHs&t 
И ВСЁ ЭТО ДЕЛАЕТСЯ НА НАШИ ДЕНЬГИ !!!!!! 
 
Вы думаете я из праздности выложил весь этот материал у себя на странице ""О смене экономической системы развития нашего государства"".? 
А кто за Вас это будет всё менять..???! 
 
Мирный и законный путь придуман, применить широкомасштабно МЛМ экономическую систему, для развития национального производства при полной поддержке всего Народа государства. 
Скажите, кто это будет всё за вас делать..??!"
81,12024.0,https://vitalidrobishev.livejournal.com/8325941.html
82,12024.0,Какие выборы пизда Росии Путин обосрался
83,12024.0,"2024 ГОД СТАНЕТ НЕ ГОДОМ ВЫБОРА ПРЕЗИДЕНТА, А ГОДОМ ВЫБОРА ДАЛЬНЕЙШЕГО ПУТИ РАЗВИТИЯ ВСЕГО НАШЕГО ГОСУДАРСТВА. 
 
ЛЮДИ, можно задать простой вопрос..? Мы во всей этой ежедневной суете задумыемся о том, разумно ли мы живём.? 
 
Давайте разберёмся в этом вместе и разобравшись начнём менять то, что мы уже десятилетия делаем не так. 
Мы уже 32 года живём в ""государстве"" система которого подразумевает отсутсвие какого либо перспективного будущего, как для самого государства, так и для его Народа. 
Когда в системе управления государством осутсвуют профильные специалисты, такое государство нацелено на развитие..?! 
 
А теперь просто факты.. 
1. Мы все свои средства 32 года, 60-80% своего дохода вкладываем в развитие других государств, а ожидаем улучшений с своём собственном. А на какие средства это делать в нашем государстве, можно узнать.? 
https://www.youtube.com/watch?v=I5PLsagGZtE&t 
https://www.youtube.com/watch?v=-vYGCsMROi4 
https://olegon.ru/showthread.php?t=33103 
Другими словами, мы 1- день в неделю ходим на работу чтобы оплатить стоимость необходимых нам товаров, а 4 дня, для того чтобы развивались предприятия в иностранных государствах и поддерживали высокий уровень жизни своих граждан. 
И как итог, мы не имеем в государстве средств для достойной пенсии, делая такие огромные отчисления в иностранные государства. 
Вы кода либо, 60-80% своего месячного дохода отдавали своему соседу, его семье, чтобы она хорошо жила..? 
Так почему мы позволили уничтожать на наших глазах национальные производства, от которых напрямую зависит высокий уровень жизни всего нашего государства и размер наших зароботных плат..? 
Я не говорю уже о бюджете государства, который у нас наполнятеся исключительно от продажи ресурсов, которые обменивают на простую зелёную бумагу государства имеющего 31,12 трлн долларов долга, не имеющую по сути никакой ценности 
Нам некогда задуматься об этом 32 года..? 
Мы заняты улучшением благосостояния госудасрв готовых уничтожить наше государство в любую минуту..? 
2. Как стало возможным кредитное рабство в государстве, вы не задумывались, работая 4 дня в неделю на враждебно настроенные к нам государства..? У вас находится для этого время..?! 
А очень просто.. Получая заработные платы с предприятий с уровнем рентабельности в 6.44 % 
https://tass.ru/ekonomika/13464029 
мы покупаем продукцию в иностранных почему то торговых сетях с наценкой 252-445%, в десятки раз больше возможностей нашего дохода. А в выходные дни мы ещё ищем подработку чтобы были средства заплатить кредиты. 
Кредитное рабство граждан и невозможность развития национального производства становятся гарантированными. 
И такую политику наше правительство проводит 32 года. 
И мы это знаем 32 года...??? 
Нас это всё устраивает..?? 
Или мы очень заняты работой на чужие государства и не находим время чтобы задуматься над этим..?? 
 
На наши деньги: Иностранцы покупают наши природные ресурсы, 
обменивая их на дорогие зелёные фантики. ""Инвестируют"" делая по сути своей собственностью наши национальные предприятия, (Валентин Катасонов ""инвестиционная оккупация России"") 
Выдают нам кредиты и ипотеки нашими же деньгами. 
Проводят работу по духовному и нравственному разложению общества, и нашего молодого поколения, чтобы мы вообще перестали думать. 
https://www.rbc.ru/business/18/05/2021/60a3e41f9a7947.. 
https://www.youtube.com/watch?v=wOBR14BtoYc 
https://www.youtube.com/watch?v=veQMkA8KDHs&t 
И ВСЁ ЭТО ДЕЛАЕТСЯ НА НАШИ ДЕНЬГИ !!!!!! 
 
Вы думаете я из праздности выложил весь этот материал у себя на странице ""О смене экономической системы развития нашего государства"".? 
А кто за Вас это будет всё менять..???! 
 
Мирный и законный путь придуман, применить широкомасштабно МЛМ экономическую систему, для развития национального производства при полной поддержке всего Народа государства. 
Скажите, кто это будет всё за вас делать..??!"
